name,num,star,sug1,sug2,sug3
鹿园 MOOSE(陆家嘴中心店),122885523,准五星商户,老北京烤鸭,橙味核桃大虾球,椒盐鸭架
蘇小柳点心专门店(世纪汇店),129750309,准五星商户,晚梗米海鲜泡饭,大根蒜香骨,鲜肉小笼
黛月·耕碾工坊,96066776,准五星商户,相爷鸡爪,临安桂花米酿,黄金鸡
赵氏荣华园(魔方社区店),122646632,准五星商户,天鹅榴莲酥,荣华园熏黄鱼,海南黄椒酱焗天目湖水库鱼头
道道鲜崇明私房菜(延安西路店),5644302,五星商户,白菜粉丝蛋饺,甜酒酿,红烧羊肉砂锅
和记小菜(新东亚店),565136,五星商户,清炒河虾仁,招牌生煎包,招牌红烧肉
黄鱼馆Jhouse(静安店),112220298,五星商户,招牌黄鱼面,脆皮妙龄鸽,家烧东海小海鲜
东城故事·寻找姆妈的味道,23893627,四星商户,生煎包,山药骨髓肉,松子桂鱼
老爸厨房(水清路店),66545994,准五星商户,老爸自制养生黑豆腐,黑胡椒牛肉粒炒年糕,响油鳝丝
渔水之家柴火菜饭,10021108,五星商户,清蒸白水鱼,古镇扎肉,酱爆螺丝
西郊5号·Maggie 5,2367274,五星商户,海参捞饭,5号精品牛排,中华炖式牛排
逸道(思南公馆店),124628269,五星商户,明月雪绒豆腐,招牌鱼头佛跳墙,慢煮雪花牛肉
讌·海派融合菜,127816792,五星商户,私房红烧肉,老上海熏鱼,油爆虾
枚青·红楼小宴(晶品店),120048431,准五星商户,临安桂花米酿,鲍鱼红烧肉,糖醋里脊
荷风细雨(世纪大道店),107480398,五星商户,膏蟹醉花螺,金牌普洱紅烧肉,西班牙火腿蒸野生白水魚
御鲜坊(汇暻生活广场店),130708090,五星商户,花雕鸡,黑椒番茄牛仔粒,御厨红烧肉
上海小南国(世纪汇店),123534186,准五星商户,外婆红烧肉,葱油拌面,龙井虾仁
享味,130780621,四星商户,冰镇18年黄酒醉龙虾,老上海经典油爆虾,榄菜四季豆
新荣记(南阳路店),4023775,五星商户,黄鱼,黄金脆带鱼,沙蒜烧豆面
甬府,18991088,五星商户,宁波汤圆,油渣芋艿羹,宁式十八斩
江越·绍东家(世茂人广店),112222170,准五星商户,绍氏酥鱼,花雕竹林鸡,葱香芋头
兴兴茶坊,104545162,五星商户,白斩鸡,农家烧千岛湖鳊鱼,咸蛋黄锅巴
月湖萃(大悦城店),70070254,准五星商户,桂花熏鲳鱼,绿豆糕,蟹粉炒虾仁
上海人家花樣年华(浦东百联世纪店),125072099,准五星商户,老上海响油鳝丝配饼,黑松露拇指生煎,老上海橙香蟹糊
和记小菜(九亭店),2962471,五星商户,招牌红烧肉,糖醋陈皮排骨,清炒河虾仁
世博江宴,110625747,五星商户,杨枝甘露,花雕酒蒸鲥鱼,长江虾
金时代顺风大酒店(协泰店),96108400,五星商户,脆皮乳鸽,本帮熏鱼,水晶虾仁
阿莉餐厅,507280,四星商户,玉米烙,酸菜鱼,阿莉红烧肉
肥猫餐厅(松江店),14202740,准五星商户,铁板烤虾,肥猫烤翅,金华桶饼
饭香上海菜(日月光中心广场店),123607425,准五星商户,饭香招牌片皮鸭,本帮糖醋排骨,本帮响油鳝丝
慧公馆MAISON DE L'HUI(洛克·外滩店),4506604,准五星商户,杏仁白玉,本帮特色熏鱼,招牌黄鱼面
春在(陆家嘴店),21294388,准五星商户,响油鳝糊,宁波醉蛏子,蟹粉豆腐
上海早晨(虹梅路店),114901521,五星商户,蟹粉天鹅蛋,招牌老上海熏鱼,黑豚肉酱炖青膏蟹
紫荆阁.鲁菜海鲜(东方路店),584207,准五星商户,上海油爆虾,油淋鸟贝,健康紫薯色拉
王宝和上海餐厅,501581,准五星商户,冰镇小龙虾,哈根达斯冰淇淋球,蟹粉小笼
南京大牌档(香港广场店),20720807,准五星商户,民国美龄粥,天王烤鸭包,南京盐水鸭
雍颐庭,8876721,准五星商户,大白兔奶糖冰激凌配糖糕,干邑红烧肉,花雕醉龙虾
味醒坊,129835930,五星商户,本帮熏鱼,醉膏蟹,神仙鸡
蘇小柳点心专门店(五角场店),90978738,准五星商户,晚粳米海鲜泡饭,清甜鲜虾马蹄小笼,香辣肉锅贴
浦江春晓(老码头店),8065606,准五星商户,特色长江鱼,葱炒野生江虾,铁板文蛤
米桃-百花山房·桃花扇(协信星光广场店),101816740,准五星商户,松鼠鲈鱼,招牌无锡蟹粉小笼包,鸡汁宜兴笋干
枚青·临安酒肆(徐家汇店),70587988,准五星商户,临安桂花米酿,黄金鸡,杭式年年糕
漢舍中国菜馆(丁香路店),2808400,准五星商户,漢舍招牌果木烤鸭,现制熏鲳鱼,老上海葱油鸡
嘉定公馆,63061513,五星商户,蒜茸蒸帝皇蟹,上海熏鱼,糖醋小排
